,,Spaceshield Hack 2026,,,,,,,
,,,,Dostępność,,,,,Poznaj swojego mentora (BIO)
,29,Przemysław Ptak,"Ukłądy zasilania impulsowego, magazyny energii elektrycznej, wytwarzanie, przetrwarzanie i magazynowanie wodoru, półprzewodnikowe źródła światła, OLED",x,x,,x,,"Prof. Przemysław Ptak has been working at the Gdynia Maritime University since 2017, and in the same year he obtained a PhD in technical sciences with honours in the field of electronics, specialising in electronic components and systems. In 2020, by decision of the Rector of the Gdynia Maritime University, he was appointed professor at the university, and in 2022 he obtained a postdoctoral (DSc) degree in automation, electronics and electrical engineering."
,30,Arleta Siwek,"Projekty edukacyjne, szczególnie z zakresu STEAM, działania innowacyjne młodzieży, eventy i rozrywka z udziałem młodych, współpraca z interesariuszami",x,,,,,"Arleta Siwek - Ekspert z 25 letnim doświadczeniem w zakresie przygotowania, realizacji i oceny wniosków o dofinansowanie, ekspert w zakresie projektowania i realizacji inicjatyw edukacyjnych, w szczególności z zakresu STEAM, ekspert w zakresie współpracy z interesariuszami, szczególnie młodzieżą, autor i koordynator wielu projektów miejskich, w tym innowacyjnych, z doświadczeniem w organizacji wydarzeń, przedsięwzięć dla młodzieży, w tym związanych z potencjałem i dziedzictwem Stalowej Woli"
,31,Natalia Basiura,"Walidacja, operacjonalizacja, skalowanie, sprzedaż, testy",x,x,,x,x,"Operations Director w Fundacji Kraków Miastem Startupów i Project Manager z 6-letnim doświadczeniem w prowadzeniu projektów end-to-end: od zdobycia finansowania po dowiezienie i rozliczenie. Prezeska Fundacji Ambasada Społeczności, współzałożycielka startupu FastMic i absolwentka Szkoły Pionierów PFR. Pracuję na styku startupów, NGO i technologii, z rosnącym fokussem na obronność i obronę cywilną. Najlepiej czuję się tam, gdzie trzeba poukładać chaos w działający projekt. Wspieram zespoły w strategii, walidacji i przekładaniu pomysłów na realne, wdrażalne rozwiązania."
,32,Adrian Iwanek,"Programowanie, AI, cyberbezpieczeństwo, pitche i prezentacja na scenie",x,x,,x,,"Programista z 25-letnim doświadczeniem w tworzeniu serwisów internetowych, aplikacji mobilnych i desktopowych. Uczestniczył w realizacji ponad 200 projektów IT, od stron internetowych, po indywidualne systemy CRM i ERP. Na co dzień cyfryzuje firmy z wykorzystaniem automatyzacji, AI i indywidualnego oprogramowania. Pasjonat sztucznej inteligencji, cyberbezpieczeństwa i hackathonów."
,33,Mateusz Tułecki,"Product design, marketing, dual use, investment,",x,x,,,,"Socjolog, twórca kultowej konferencji InternetBeta, za którą dostał tytuł Zasłużony dla Miasta Rzeszowa. Doświadczenie zdobywał koordynując kampanie i wydarzenia dla Intela i Microsoftu, wyszukiwał innowacyjne projekty dla globalnych marek, był managerem inwestycyjnym (Satus Ventures i Agora S.A.). Obecnie rozwija inicjatywę PL:ON, wspiera Dziki Warszawa i jest Co-Founderem w paru projektach startupowych. Od wielu lat prowadzi zajęcia na wielu uczelniach w kraju (WSIiZ, WSB-NLU, ALK)"
,34,"John Hall, Jr.",Historia Kosmosu; Polityki Kosmicznej; Kwestie przemysłu kosmicznego,,,,x,,Nauczyciel w Warszawskim Liceum Vizja i były wykładowca w Biurze Edukacji Kosmicznej ESERO-Polska. W latach 2017-2021 doradca prezesa Polskiej Agencji Kosmicznej. Przez 25 lat piastował stanowisko dyrektora odpowiedzialnego za współpracę międzynarodową w NASA. Reprezentował Agencję w pracach nad rozwojem narodowej polityki kosmicznej w trakcie trzech kadencji prezydenckich. Przez trzy kadencje był radnym w City of Rockville w stanie Maryland. Przez 27 lat był starszym strażakiem i ratownikiem.
,35,Tomasz Mamala,"Szybkie prototypowanie, Ts, React, Struktury danych, Debugowanie kodu",x,x,x,x,,"Byłem na hackathonie w stalowej woli rok temu jako uczestnik i na własnej skórze przerobiłem błędy, których teraz pomogę innym uniknąć. Wiem, jak łatwo utknąć w detalach i nie dowieźć projektu na czas, dlatego skupiam się na budowaniu działającego MVP i dobrym ""sprzedaniu"" pomysłu jury. Nie znam teorii z wielkich książek dla programistów, ale mam na koncie wygraną największego hackathonu w Europie (HackYeah), więc chętnie pomogę z ogarnięciem kodu i prezentacji."
,36,Kamil Golemo,"Polityka kosmiczna i bezpieczeństwo kosmiczne, Rywalizacja USA-Chiny, Analiza polityk publicznych,",x,x,x,x,,"Analityk polityki kosmicznej i bezpieczeństwa technologicznego, specjalizujący się w rywalizacji USA-Chiny oraz jej wpływie na globalną infrastrukturę kosmiczną. Bada rozwój systemów orbitalnych i cis-lunarnych jako zintegrowanej architektury oraz identyfikuje kluczowe zależności i chokepointy. Analizuje ich implikacje dla polityk publicznych, bezpieczeństwa oraz rozwoju sektora kosmicznego w Europie i Polsce."
,37,Jakub Tomczewski,"IT Project Management, Presentation, Marketing",x,x,,x,,"Prezes Bydgoskiego Klastra Informatycznego od 2021 r., z ponad 17-letnim doświadczeniem w zarządzaniu projektami edukacyjnymi i innowacyjnymi. Współtworzy strategię rozwoju klastra, współpracując z biznesem i edukacją. Informatyk i ekonometryk, Six Sigma Master Black Belt. Wykładowca i trener w obszarach zarządzania projektami, Lean Six Sigma, ERP/CRM, AI i cyberbezpieczeństwa. Prelegent wydarzeń branżowych, m.in. Opera Camp i BKIhack."
,38,Piotr Kaczmarek Kurczak,"Przedsiębiorczość, zarządzanie, przemysł 4.0, ekonomia kosmiczna, deep tech",x,x,,x,x,"Pracuje w Centrum Studiów Kosmicznych Akademii Leona Koźmińskiego (ESA_Lab@Koźmiński University) w Warszawie gdzie zajmuję się przedsiębiorczością kosmiczną i ekonomią new space. Jestem wykładowcą w Katedrze Przedsiębiorczości i Etyki Biznesu Akademii Leona Koźmińskiego, gdzie zajmuje się procesami innowacji i przedsiębiorczości technologicznej. Jako ekspert Przemysłu 4.0 jestem audytorem ADMA (Advanced Manufacturing) - specjalizuję się w interakcji ludzi i technologii w przedsiębiorstwie."
